,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
33,45.88,11.17,10.71,26.71,24.62,29.82,6.04,2.41,12.79,31.68,18.07,29.92,187.18,155.68,132.38,133.55,173.18,59.23,14.76,78.80,25.69,444.15,131.80,171.54,16.48,69.54,1377.29,495.35,2037.66,1026.09,3097.25,10438.94,33217.18,84034.95,3589.14,1186.62,156.89,3.27,0.05,0.02,0.00,52.81,726.30,114.16,39.73,13.85,23.91,0.31,1.82,0.58,0.80,0.57,484.31,2541.92,1366.43,1692.92,2.68,0.70,0.01,1624.69,26117.04
34,461.23,101.86,103.69,242.25,246.87,281.39,44.11,19.39,110.22,296.76,191.35,300.46,2077.43,1791.43,1521.49,1467.91,1912.29,619.93,168.20,820.08,294.36,3897.58,980.93,1901.27,120.43,556.46,13775.34,5696.32,22906.07,7895.57,14788.53,7360.77,8411.12,2879.89,41302.80,2049.78,680.96,6.43,0.20,0.10,0.01,337.39,5495.07,835.43,97.85,41.10,122.26,1.60,11.34,4.40,5.81,3.80,4772.83,17697.59,10051.44,5182.80,9.96,1.75,0.03,1219.64,8755.61
35,26.00,4.97,5.47,11.39,14.20,13.80,1.67,0.82,4.71,13.57,12.27,16.34,156.25,189.27,136.79,90.55,129.93,36.24,15.15,49.15,28.98,1192.98,547.24,277.86,78.16,288.65,3144.19,415.04,1797.55,2863.73,9103.34,8985.69,3958.94,471.53,1015.11,8508.39,18.17,0.16,0.01,0.00,0.00,10.92,180.22,28.69,2.44,1.07,3.71,0.05,0.40,0.18,0.23,0.14,198.90,503.42,262.73,127.39,0.28,0.04,0.00,46.55,567.36
36,1542.20,662.04,451.85,1416.83,942.66,1217.52,673.71,227.24,705.64,938.94,442.23,851.31,2915.98,957.77,713.76,1125.99,2012.09,1168.76,165.70,1963.51,276.97,266.05,67.12,394.43,10.27,54.25,1655.80,1193.46,1575.19,342.87,311.13,107.44,149.92,110.38,597.10,32.17,25893.46,194.75,7.20,3.56,0.16,5814.12,16015.14,6547.07,3028.59,1520.58,3937.09,50.68,282.81,69.35,104.95,83.70,3506.97,16104.41,1705.47,8487.32,375.39,63.15,1.05,149.28,464.44
37,80.40,49.26,26.27,85.01,56.82,61.31,77.93,26.81,36.61,35.41,21.11,37.72,121.62,32.54,22.25,34.46,69.69,45.40,6.60,88.55,11.40,7.26,1.86,11.56,0.30,1.59,46.87,32.70,43.17,9.31,9.00,4.07,7.11,8.30,20.33,1.02,702.23,15365.55,96.04,44.78,1.10,301.89,442.17,230.08,6906.83,13793.49,1360.18,92.84,185.82,16.66,35.33,43.38,96.21,459.70,54.54,404.10,4056.49,2880.84,25.67,10.28,30.21
38,41.56,30.10,14.17,41.07,34.80,26.69,39.40,18.31,13.87,10.91,11.01,15.91,59.09,13.03,7.09,9.37,24.50,17.32,3.28,41.09,6.20,1.64,0.52,3.48,0.11,0.58,13.15,6.53,6.47,1.70,1.15,0.31,0.41,0.33,1.73,0.11,71.11,263.02,6153.20,2770.32,68.67,67.88,68.75,48.49,308.04,1546.95,431.92,160.71,258.91,18.78,48.45,65.31,16.86,49.83,4.93,24.68,6295.78,890.99,6.62,0.46,1.37
39,30.89,22.30,10.49,29.25,26.65,18.91,26.48,13.22,9.41,7.33,8.34,11.41,45.03,9.83,5.08,6.39,17.51,12.35,2.55,30.29,4.95,1.15,0.39,2.52,0.09,0.46,9.53,4.29,4.09,1.14,0.72,0.18,0.23,0.18,1.00,0.06,39.02,136.01,3072.26,23749.77,474.67,41.01,41.33,29.84,154.55,774.13,250.74,101.20,181.25,14.25,37.08,48.16,10.57,28.84,2.82,13.22,3173.60,486.69,3.34,0.24,0.72
40,5.74,4.00,1.91,4.95,5.17,3.22,3.87,2.19,1.47,1.15,1.62,2.01,9.00,1.99,0.94,1.07,3.16,2.18,0.53,5.62,1.09,0.21,0.08,0.48,0.02,0.11,1.86,0.68,0.61,0.20,0.11,0.02,0.03,0.02,0.12,0.01,3.91,7.34,167.58,1044.51,978.20,5.05,5.26,3.91,10.81,51.39,26.81,11.08,25.19,2.43,6.22,7.36,1.50,3.43,0.33,1.28,209.42,24.27,0.19,0.02,0.07
41,4851.44,2312.55,1487.53,4773.50,3110.07,3826.16,2242.72,787.89,2291.88,2416.60,1323.61,2472.53,8023.22,2220.32,1488.90,2253.67,4752.88,3077.62,439.78,5726.85,749.54,416.58,115.13,752.29,19.62,104.82,2953.66,1821.71,1937.35,473.77,346.01,88.94,105.47,61.60,490.48,32.05,9639.45,138.81,11.40,6.21,0.35,20602.87,20760.78,14493.78,1886.86,1425.12,6886.18,96.75,683.11,217.31,308.83,220.40,5028.90,13991.65,1356.62,4163.98,500.15,60.52,1.06,77.58,259.65
42,5664.69,1639.68,1443.23,3900.11,3138.54,4095.79,877.05,365.16,1919.17,4128.46,1883.53,3542.23,14701.38,5952.29,4675.53,7330.11,11738.58,5803.28,899.47,8501.85,1488.45,1815.20,462.83,2696.52,70.73,372.95,11432.27,8179.28,9851.51,2249.62,1798.66,471.04,535.73,271.82,2563.05,169.73,8519.07,65.23,3.70,2.01,0.12,6660.96,110611.28,16793.50,1002.96,563.93,2275.94,31.28,228.07,85.56,114.86,76.26,24061.33,68274.64,6809.49,12167.75,169.13,23.27,0.40,301.84,1117.86
